time,device_id,msg_type,position_time,lat,lon,mode,collar_status,fence_status
2024-11-01 04:28:33+00:00,229327,poll_message_req,2024-11-01 04:13:57+00:00,38.3802864,-2.6935097,Fence,Sleep,FenceStatus_Normal
2024-11-01 04:28:43+00:00,229198,poll_message_req,2024-11-01 04:12:17+00:00,38.380343,-2.6937151,Fence,Sleep,FenceStatus_Normal
2024-11-01 04:30:26+00:00,229175,poll_message_req,2024-11-01 03:44:07+00:00,38.3803648,-2.6935638,Fence,Sleep,FenceStatus_Normal
2024-11-01 04:30:50+00:00,246050,poll_message_req,2024-11-01 03:49:57+00:00,38.3802591,-2.693695,Fence,Sleep,FenceStatus_Normal
2024-11-01 04:30:51+00:00,246064,poll_message_req,2024-11-01 04:10:17+00:00,38.3803314,-2.6936922,Fence,Sleep,FenceStatus_Normal
2024-11-01 04:30:53+00:00,229116,poll_message_req,2024-11-01 02:58:32+00:00,38.3802963,-2.6938107,Fence,Sleep,FenceStatus_Normal
2024-11-01 04:31:24+00:00,229107,poll_message_req,2024-11-01 03:48:57+00:00,38.3803213,-2.693702,Fence,Sleep,FenceStatus_Normal
2024-11-01 04:41:34+00:00,229344,poll_message_req,2024-11-01 04:29:57+00:00,38.3803363,-2.6937062,Fence,Sleep,FenceStatus_Normal
2024-11-01 04:42:24+00:00,229111,poll_message_req,2024-11-01 03:42:52+00:00,38.3804182,-2.6936365,Fence,Sleep,FenceStatus_Normal
2024-11-01 04:43:32+00:00,229327,poll_message_req,2024-11-01 04:13:57+00:00,38.3802864,-2.6935097,Fence,Sleep,FenceStatus_Normal
2024-11-01 04:43:44+00:00,229198,poll_message_req,2024-11-01 04:12:17+00:00,38.380343,-2.6937151,Fence,Sleep,FenceStatus_Normal
2024-11-01 04:45:27+00:00,229175,poll_message_req,2024-11-01 03:44:07+00:00,38.3803648,-2.6935638,Fence,Sleep,FenceStatus_Normal
2024-11-01 04:45:46+00:00,246064,poll_message_req,2024-11-01 04:10:17+00:00,38.3803314,-2.6936922,Fence,Sleep,FenceStatus_Normal
2024-11-01 04:45:50+00:00,246050,poll_message_req,2024-11-01 03:49:57+00:00,38.3802591,-2.693695,Fence,Sleep,FenceStatus_Normal
2024-11-01 04:45:53+00:00,229116,poll_message_req,2024-11-01 02:58:32+00:00,38.3802963,-2.6938107,Fence,Sleep,FenceStatus_Normal
2024-11-01 04:46:25+00:00,229107,poll_message_req,2024-11-01 04:42:42+00:00,38.3802712,-2.6937682,Fence,Sleep,FenceStatus_Normal
2024-11-01 04:56:34+00:00,229344,poll_message_req,2024-11-01 04:29:57+00:00,38.3803363,-2.6937062,Fence,Sleep,FenceStatus_Normal
2024-11-01 04:57:25+00:00,229111,poll_message_req,2024-11-01 03:42:52+00:00,38.3804182,-2.6936365,Fence,Sleep,FenceStatus_Normal
2024-11-01 04:58:32+00:00,229327,poll_message_req,2024-11-01 04:13:57+00:00,38.3802864,-2.6935097,Fence,Sleep,FenceStatus_Normal
