time;device_id;msg_type;position_time;lat;lon
05/08/2024 10:36;229175;warning_message;05/08/2024 10:36;383825544;-2697837
05/08/2024 10:37;229175;pulse_message;05/08/2024 10:37;383825485;-26978397
05/08/2024 10:37;229175;warning_message;05/08/2024 10:37;383825038;-26977821
05/08/2024 10:37;229175;poll_msg;05/08/2024 10:37;383825923;-26977899
05/08/2024 10:45;229175;warning_message;05/08/2024 10:45;383819677;-26982092
05/08/2024 10:45;229175;pulse_message;05/08/2024 10:45;383818195;-26983446
05/08/2024 10:45;229175;warning_message;05/08/2024 10:45;383817738;-26986477
05/08/2024 10:46;229175;pulse_message;05/08/2024 10:46;383815736;-26989104
05/08/2024 10:46;229175;poll_msg;05/08/2024 10:46;383815212;-26989404
05/08/2024 10:46;229175;poll_msg;05/08/2024 10:46;383815095;-26989459
05/08/2024 10:46;229175;warning_message;05/08/2024 10:46;383814057;-269897
05/08/2024 10:46;229175;pulse_message;05/08/2024 10:46;383810092;-26989136
05/08/2024 10:46;229175;poll_msg;05/08/2024 10:46;38380997;-2698909
05/08/2024 10:46;229175;poll_msg;05/08/2024 10:46;383810092;-26989136
05/08/2024 10:46;229175;seq_msg;;;
05/08/2024 10:46;229175;poll_msg;05/08/2024 10:46;38380883;-26992439
05/08/2024 10:47;229175;poll_msg;05/08/2024 10:46;383808923;-2699242
05/08/2024 11:01;229175;poll_msg;05/08/2024 11:01;383810162;-26993404
05/08/2024 11:16;229175;seq_msg;;;
05/08/2024 11:16;229175;poll_msg;05/08/2024 11:16;383809175;-26994125
05/08/2024 11:31;229175;poll_msg;05/08/2024 11:31;383810291;-2699258
05/08/2024 11:46;229175;seq_msg;;;
05/08/2024 11:46;229175;poll_msg;05/08/2024 11:46;383809071;-26993812
05/08/2024 12:01;229175;poll_msg;05/08/2024 12:01;383809896;-26992914
05/08/2024 12:16;229175;seq_msg;;;
05/08/2024 12:16;229175;poll_msg;05/08/2024 12:08;383808843;-26992291
05/08/2024 12:31;229175;poll_msg;05/08/2024 12:08;383808843;-26992291
05/08/2024 12:46;229175;seq_msg;;;
05/08/2024 12:46;229175;poll_msg;05/08/2024 12:46;38380886;-26991171
05/08/2024 13:01;229175;poll_msg;05/08/2024 13:01;383810636;-26993152
05/08/2024 13:16;229175;seq_msg;;;
05/08/2024 13:16;229175;poll_msg;05/08/2024 13:04;383809844;-26992231
05/08/2024 13:31;229175;poll_msg;05/08/2024 13:04;383809844;-26992231
05/08/2024 13:46;229175;seq_msg;;;
05/08/2024 13:46;229175;poll_msg;05/08/2024 13:04;383809844;-26992231
05/08/2024 14:01;229175;poll_msg;05/08/2024 13:04;383809844;-26992231
05/08/2024 14:16;229175;seq_msg;;;
05/08/2024 14:16;229175;poll_msg;05/08/2024 13:04;383809844;-26992231
05/08/2024 14:31;229175;poll_msg;05/08/2024 14:31;383808958;-26991585
05/08/2024 14:46;229175;seq_msg;;;
05/08/2024 14:46;229175;poll_msg;05/08/2024 14:46;383809746;-26990682
05/08/2024 15:01;229175;poll_msg;05/08/2024 14:56;383808724;-26994523
05/08/2024 15:16;229175;seq_msg;;;
05/08/2024 15:16;229175;poll_msg;05/08/2024 15:16;383809415;-26991075
05/08/2024 15:31;229175;poll_msg;05/08/2024 15:21;383809721;-26992902
05/08/2024 15:46;229175;seq_msg;;;
05/08/2024 15:46;229175;poll_msg;05/08/2024 15:46;383808602;-26992017
05/08/2024 16:01;229175;poll_msg;05/08/2024 16:01;383808589;-26991039
05/08/2024 16:16;229175;seq_msg;;;
05/08/2024 16:16;229175;poll_msg;05/08/2024 16:16;383808974;-26992199
05/08/2024 16:31;229175;poll_msg;05/08/2024 16:31;383811553;-26985994
05/08/2024 16:46;229175;seq_msg;;;
05/08/2024 16:46;229175;poll_msg;05/08/2024 16:46;383811646;-26988855
05/08/2024 17:01;229175;poll_msg;05/08/2024 17:01;383808761;-26991597
05/08/2024 17:16;229175;seq_msg;;;
05/08/2024 17:16;229175;poll_msg;05/08/2024 17:11;38380864;-26992045
05/08/2024 17:31;229175;poll_msg;05/08/2024 17:31;383808266;-26991291
05/08/2024 17:46;229175;seq_msg;;;
05/08/2024 17:46;229175;poll_msg;05/08/2024 17:46;383807901;-26987676
05/08/2024 18:01;229175;poll_msg;05/08/2024 18:01;383811881;-26985746
05/08/2024 18:16;229175;seq_msg;;;
05/08/2024 18:16;229175;poll_msg;05/08/2024 18:16;383833349;-26974234
05/08/2024 18:29;229175;poll_msg;05/08/2024 18:29;383833105;-26979359
05/08/2024 18:29;229175;poll_msg;05/08/2024 18:29;383833278;-2697979
05/08/2024 18:29;229175;poll_msg;05/08/2024 18:29;383833278;-2697979
05/08/2024 18:29;229175;poll_msg;05/08/2024 18:29;383833164;-26980922
05/08/2024 18:31;229175;poll_msg;05/08/2024 18:31;383835675;-26981424
05/08/2024 18:46;229175;seq_msg;;;
05/08/2024 18:46;229175;poll_msg;05/08/2024 18:46;383829812;-26979919
05/08/2024 19:01;229175;poll_msg;05/08/2024 19:01;383823257;-26983802
05/08/2024 19:16;229175;seq_msg;;;
05/08/2024 19:16;229175;poll_msg;05/08/2024 19:16;383822426;-26978737
05/08/2024 19:30;229175;poll_msg;05/08/2024 19:30;383823401;-26980728
05/08/2024 19:31;229175;poll_msg;05/08/2024 19:31;383823646;-26981012
05/08/2024 19:46;229175;seq_msg;;;
05/08/2024 19:46;229175;poll_msg;05/08/2024 19:46;383820324;-269805
05/08/2024 20:01;229175;poll_msg;05/08/2024 19:59;383820275;-26979872
05/08/2024 20:16;229175;seq_msg;;;
05/08/2024 20:16;229175;poll_msg;05/08/2024 20:15;383820742;-26979167
05/08/2024 20:31;229175;poll_msg;05/08/2024 20:31;383819717;-26979919
05/08/2024 20:46;229175;seq_msg;;;
05/08/2024 20:46;229175;poll_msg;05/08/2024 20:33;383819753;-26979953
05/08/2024 21:01;229175;poll_msg;05/08/2024 21:01;383819582;-2697912
05/08/2024 21:16;229175;seq_msg;;;
05/08/2024 21:16;229175;poll_msg;05/08/2024 21:13;383820775;-2697967
05/08/2024 21:31;229175;poll_msg;05/08/2024 21:31;383819343;-26979769
05/08/2024 21:38;229175;warning_message;05/08/2024 21:38;383819666;-26980059
05/08/2024 21:46;229175;seq_msg;;;
05/08/2024 21:46;229175;poll_msg;05/08/2024 21:42;383819721;-26979888
05/08/2024 21:46;229175;poll_msg;05/08/2024 21:42;383819721;-26979888
05/08/2024 22:01;229175;poll_msg;05/08/2024 21:58;383820177;-26979685
05/08/2024 22:16;229175;seq_msg;;;
05/08/2024 22:16;229175;poll_msg;05/08/2024 22:15;383820363;-26980656
05/08/2024 22:31;229175;poll_msg;05/08/2024 22:28;383820453;-26979678
05/08/2024 22:46;229175;seq_msg;;;
05/08/2024 22:46;229175;poll_msg;05/08/2024 22:45;383820527;-26979232
05/08/2024 23:01;229175;poll_msg;05/08/2024 22:45;383820527;-26979232
05/08/2024 23:16;229175;seq_msg;;;
05/08/2024 23:16;229175;poll_msg;05/08/2024 23:16;383820313;-26979771
05/08/2024 23:31;229175;poll_msg;05/08/2024 23:29;383820216;-26979493
05/08/2024 23:46;229175;seq_msg;;;
05/08/2024 23:46;229175;poll_msg;05/08/2024 23:46;383820852;-26978808
05/08/2024 23:50;229175;warning_message;05/08/2024 23:50;383819427;-26979499
05/08/2024 23:51;229175;warning_message;05/08/2024 23:51;383819509;-26979581
05/08/2024 23:51;229175;pulse_message;05/08/2024 23:51;383819442;-26979705
05/08/2024 23:52;229175;poll_msg;05/08/2024 23:52;383819614;-2698058
06/08/2024 0:01;229175;poll_msg;06/08/2024 0:01;383834219;-26981261
06/08/2024 0:16;229175;seq_msg;;;
06/08/2024 0:16;229175;poll_msg;06/08/2024 0:09;383833882;-26982677
06/08/2024 0:31;229175;poll_msg;06/08/2024 0:20;383834604;-26982863
06/08/2024 0:46;229175;seq_msg;;;
06/08/2024 0:46;229175;poll_msg;06/08/2024 0:37;383833423;-26982208
06/08/2024 1:01;229175;poll_msg;06/08/2024 0:54;383833409;-2698298
06/08/2024 1:16;229175;seq_msg;;;
06/08/2024 1:16;229175;poll_msg;06/08/2024 1:15;383833335;-26982685
06/08/2024 1:31;229175;poll_msg;06/08/2024 1:19;383834742;-26982199
